iter	Passed	Remaining
0	5	1032
1	9	986
2	11	753
3	13	640
4	14	574
5	16	525
6	18	503
7	21	511
8	23	496
9	26	509
10	28	486
11	29	465
12	33	488
13	37	497
14	46	568
15	47	549
16	50	546
17	52	528
18	54	523
19	56	511
20	58	497
21	59	483
22	61	471
23	62	459
24	64	448
25	65	438
26	66	428
27	68	419
28	70	415
29	72	410
30	73	402
31	75	397
32	77	390
33	78	385
34	81	383
35	83	379
36	84	373
37	86	368
38	88	366
39	90	361
40	91	356
41	93	352
42	95	339	43	101	340	44	102	341	45	106	354
46	107	349
47	108	344
48	110	339
49	111	334
50	113	347	51	116	332
52	120	334
53	122	331
54	124	327
55	127	327
56	128	323
57	130	318
58	131	314
59	136	318
60	137	313
61	138	309
62	141	308
63	146	310
64	147	307
65	149	303
66	150	299
67	157	305
68	158	301
69	166	309
70	167	305
71	169	301
72	174	303
73	175	299
74	177	296
75	180	294
76	182	291
77	183	287
78	185	284
79	187	280
80	188	277
81	190	273
82	194	274
83	196	271
84	197	267
85	199	263
86	200	260
87	201	256
88	203	285	89	209	256
90	211	253
91	213	251
92	217	250
93	219	247
94	221	244
95	222	241
96	226	240
97	230	239
98	232	236
99	233	233
100	235	230
101	236	227
102	238	224
103	240	222
104	243	220
105	245	218
106	248	216
107	249	212
108	251	209
109	252	206
110	255	205
111	257	202
112	259	199
113	260	196
114	2111	313	246
112	316	243
113	317	239
114	319	235
115	320119	2116	323	229
117	325	226
118	326	222
119	328123	2120	329124	2121	333125	297	174
126	299	171
127	300	168
128	304	167
129	306	164
130	307	162
131	309	159
132	310	156
133	312	154
134	314	151
135	315	148
136	317	145
137	318	143
138	320	140
139	323	138
140	325	136
141	327	133
142	328	131
143	330	128
144	331	125
145	334	123
146	339	122
147	340	119
148	341	117
149	343	114
150	344	111
151	346	109
152	347	106
153	354	105
154	355	103
155	357	100
156	358	98
157	362	96
158	3160	371	90
161	37160	399	96
161	403	94
162	408	92
163	410	90
164	413	87
165	416	85
166	435	85
167	437	83
168	441	80
169	448	79
170	452	76
171	454	73
172	456	71
173	457	68
174	459	65
175	460	62
176	462	60
177	463	57
178	465	54
179	466	51
180	469	49
181	470	46
182	472	43
183	4185	47184	4186	476	33
187	479	30
188	496	28
189	497	26
190	499	23
191	501	20
192	503	18
193	504	15
194	515	13
195	516	10
196	518	7
197	523	5
198	526197	533	5
198	534	2
199	539	0
568	14
195	570	11
196	573	8
197	574	5
198	576	2
199	578	0
