title	url_id	area	price	number_of_bedrooms	number_of_toilets	legal	lat	lon	district	province	property_type	property_type_id	district_id
Căn hộ chung cư tại Green Pearl 378 Minh Khai	pr43252129	96.0	7.2	3	2	2	20.9961152732193	105.86404194676	Hai Bà Trưng	Hà Nội	Chung cư	1	10
Căn hộ chung cư tại Việt Đức Complex	pr43236834	127.0	7.65	3	2	2	20.9989137699635	105.79918666281	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại D’. Le Roi Soleil	pr42200787	146.0	18.5	3	2	1	21.0663127694218	105.826975293247	Tây Hồ	Hà Nội	Chung cư	1	22
Nhà riêng tại đường Miếu Đầm	pr43255722	45.0	11.0	4	4	2	21.0052141716902	105.782715362085	Nam Từ Liêm	Hà Nội	Nhà riêng	3	28
Nhà biệt thự, liền kề tại Chung cư Vinaconex 21	pr43231806	86.3	17.2	3	4	2	20.9569645360663	105.756216474554	Hà Đông	Hà Nội	Chung cư	1	9
Nhà riêng tại phố Ngụy Như Kon Tum	pr43121393	55.0	18.0	3	3	2	20.9990562786459	105.800609880028	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại đường An Dương Vương	pr43291772	36.0	7.5	4	5	2	21.087156566723813	105.80383709699716	Tây Hồ	Hà Nội	Nhà riêng	3	22
Nhà riêng tại đường Minh Khai	pr43289060	38.0	9.5	6	6	2	20.9978260813854	105.86670588307	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Shophouse, nhà phố thương mại tại The Manor Central Park	pr42202157	75.0	24.0	5	5	2	20.97526216966368	105.81435141501116	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Nhà riêng tại đường Trần Duy Hưng	pr43266042	38.0	17.9	3	4	2	21.0104750407459	105.799191476583	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Căn hộ chung cư tại Thăng Long Number One	pr38406722	109.0	7.412	3	2	2	21.002922169305734	105.79243507928564	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà riêng tại đường Hồ Văn Chương	pr43267568	46.0	8.6	3	4	2	21.021384553497	105.833726146811	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại đường Trịnh Văn Bô	pr43263092	65.6	7.1	6	3	2	21.0377708112707	105.746533403632	Nam Từ Liêm	Hà Nội	Nhà riêng	3	28
Nhà riêng tại đường Cổ Linh	pr43303486	90.8	19.3	5	6	2	21.0278820030613	105.892528090495	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại The Emerald	pr43294258	90.0	7.5	3	2	2	21.0228058817376	105.771645189063	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42790707	96.0	18.6	5	5	2	21.09654136940791	105.71203898308184	Đan Phượng	Hà Nội	Biệt thự	2	5
Nhà riêng tại đường Ngọc Thụy	pr43315161	36.0	8.9	4	3	2	21.0497342411327	105.866742207511	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Văn Phú	pr43221682	36.0	8.9	3	4	2	20.9618547057486	105.768534108671	Hà Đông	Hà Nội	Nhà riêng	3	9
Nhà riêng tại đường Lê Duẩn	pr43277865	70.0	14.9	3	3	2	21.0197592376189	105.841178289661	Đống Đa	Hà Nội	Nhà riêng	3	7
Căn hộ chung cư tại Chung cư The Wisteria	pr43257191	138.0	7.58	3	3	2	21.07555899079853	105.69865702080364	Hoài Đức	Hà Nội	Chung cư	1	11
Nhà riêng tại đường Thanh Bình	pr43101898	42.0	8.2	5	4	2	20.9824783306908	105.777965575063	Hà Đông	Hà Nội	Nhà riêng	3	9
Căn hộ chung cư tại The Golden Palm Lê Văn Lương	pr43240340	134.0	12.0	3	2	2	21.006311416626	105.807479858398	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại D’. Le Roi Soleil	pr42504634	88.0	11.0	2	2	2	21.065251613629	105.826643871199	Tây Hồ	Hà Nội	Chung cư	1	22
Nhà riêng tại đường Phạm Thận Duật	pr43075772	55.0	14.3	4	4	2	21.0436718663015	105.77871141179	Cầu Giấy	Hà Nội	Nhà riêng	3	3
Nhà riêng tại đường Nguyễn Sơn	pr43252962	40.0	14.5	3	6	2	21.045580798256	105.880933783286	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường An Dương Vương	pr43297131	61.0	8.6	4	4	2	21.0896075934358	105.804372700302	Tây Hồ	Hà Nội	Nhà riêng	3	22
Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai	pr43275461	80.0	13.5	2	2	2	21.03322054004463	105.81671471639066	Ba Đình	Hà Nội	Chung cư	1	1
Căn hộ chung cư tại Chung cư The Wisteria	pr43246493	138.0	7.2	3	3	-1	21.0752191082662	105.698053440397	Hoài Đức	Hà Nội	Chung cư	1	11
Nhà riêng tại xã Kiêu Kỵ	pr43270109	75.0	7.0	4	3	2	20.9765287584597	105.953869083375	Gia Lâm	Hà Nội	Nhà riêng	3	8
Nhà riêng tại đường Kim Giang	pr43316227	39.0	8.8	6	5	2	20.9792543964798	105.821133132892	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Căn hộ chung cư tại Mailand Hanoi City	pr41141869	128.0	7.25	3	2	2	21.01512687406793	105.72488613442012	Hoài Đức	Hà Nội	Chung cư	1	11
Nhà riêng tại đường Nguyễn Văn Linh	pr43314659	36.0	8.5	3	4	2	21.0284256983581	105.919868712436	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại phố Phố Vọng	pr43245063	30.0	8.9	2	3	2	20.9964461424877	105.842841529417	Hai Bà Trưng	Hà Nội	Nhà riêng	3	10
Nhà riêng tại đường Nguyễn Văn Cừ	pr43224658	50.0	12.0	5	5	-1	21.0438753522705	105.872405871095	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại Rivera Park Hà Nội	pr43291907	93.0	8.5	3	2	2	20.9992203876995	105.809038940167	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại Hà Nội Center Point	pr43250863	80.3	7.15	3	2	2	21.00437800599407	105.80493015706443	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại Vinhomes Gardenia	pr43249523	100.0	9.85	3	2	2	21.036150229308088	105.76004676129612	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại phường Đại Kim	pr43262339	54.0	9.99	6	4	2	20.9750546413127	105.823569434075	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Nhà riêng tại phố Thái Hà	pr43269379	63.0	20.0	4	7	2	21.013862151962	105.826270596055	Đống Đa	Hà Nội	Nhà riêng	3	7
Nhà riêng tại đường Bùi Xương Trạch	pr43314904	36.0	9.4	3	4	2	20.9871971929869	105.818498705385	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại phường Việt Hưng	pr42925885	40.0	8.5	3	3	2	21.055690388629248	105.892742247921	Long Biên	Hà Nội	Nhà riêng	3	14
Căn hộ chung cư tại Mandarin Garden	pr40805542	145.0	13.78	3	2	2	21.004506325370844	105.79894898725148	Cầu Giấy	Hà Nội	Chung cư	1	3
Nhà mặt phố tại đường Khương Trung	pr43309055	83.0	24.0	6	4	2	20.9956647965841	105.818019342043	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Căn hộ chung cư tại Diamond Park Plaza	pr42660861	102.0	15.8	2	2	1	21.0191172135047	105.816018353459	Ba Đình	Hà Nội	Chung cư	1	1
Nhà riêng tại đường Thịnh Liệt	pr43223549	60.0	14.5	6	5	2	20.9712638047335	105.844650579601	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Căn hộ chung cư tại Diamond Goldmark City	pr43264986	140.0	10.5	3	2	2	21.044324476035577	105.76645795146712	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Giải Phóng	pr43298653	55.0	14.9	5	3	2	20.9914956864539	105.841409555905	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại đường Thạch Bàn	pr43305656	86.0	7.25	3	2	2	21.0248185106643	105.907783975058	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà riêng tại đường Nguyễn Văn Cừ	pr43264405	40.0	12.8	3	5	2	21.0493551832423	105.883319243654	Long Biên	Hà Nội	Nhà riêng	3	14
Nhà mặt phố tại đường Tố Hữu	pr43277838	30.0	9.5	3	3	2	20.9972188098254	105.794081147	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại đường Tô Vĩnh Diện	pr43283045	40.0	13.0	5	4	2	20.9999086031333	105.820718839042	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Nhà riêng tại đường Lương Thế Vinh	pr42921241	73.0	21.5	9	5	2	20.9901614304625	105.797058173174	Thanh Xuân	Hà Nội	Nhà riêng	3	26
Căn hộ chung cư tại Thống Nhất Complex	pr38992032	88.0	7.0	3	2	2	20.998046875	105.80354309082	Thanh Xuân	Hà Nội	Chung cư	1	26
Nhà riêng tại đường Xuân Tảo	pr43316339	55.0	14.8	5	6	2	21.067388990722208	105.80266188830136	Tây Hồ	Hà Nội	Nhà riêng	3	22
Nhà riêng tại đường Đền Lừ	pr43316626	65.0	13.8	5	4	2	20.9850562900531	105.858290360404	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Căn hộ chung cư tại Goldmark City	pr43285921	114.0	8.0	3	2	2	21.044045319617496	105.7678963818384	Bắc Từ Liêm	Hà Nội	Chung cư	1	28
Căn hộ chung cư tại The Matrix One	pr43293997	114.0	11.0	3	2	2	21.01017004610233	105.77382696024132	Nam Từ Liêm	Hà Nội	Chung cư	1	28
Nhà riêng tại đường Thụy Khuê	pr43231758	80.0	21.0	6	4	2	21.042669991927	105.824441375798	Tây Hồ	Hà Nội	Nhà riêng	3	22
Nhà riêng tại đường Kim Giang	pr43307954	48.0	7.95	4	3	2	20.9676478144395	105.82244545595	Hoàng Mai	Hà Nội	Nhà riêng	3	13
Shophouse, nhà phố thương mại tại The Beverly - Vinhomes Ocean Park	pr43048898	75.0	10.2	1	1	1	20.9948173752651	105.946975029934	Gia Lâm	Hà Nội	Nhà riêng	3	8
Căn hộ chung cư tại D’. El Dorado II	pr43013748	92.0	9.8	3	2	1	21.0705671226363	105.809492072533	Tây Hồ	Hà Nội	Chung cư	1	22
Nhà riêng tại đường Tam Khương	pr43239731	77.0	21.0	4	4	2	21.0043901400443	105.827840472318	Đống Đa	Hà Nội	Nhà riêng	3	7
Căn hộ chung cư tại Fafilm - VNT Tower	pr43003148	110.0	8.3	3	2	2	21.0020021461149	105.820093311235	Thanh Xuân	Hà Nội	Chung cư	1	26
Căn hộ chung cư tại Chung cư The Senique Hanoi	pr41560352	134.0	10.45	3	3	-1	20.999615314471747	105.9539314189344	Gia Lâm	Hà Nội	Chung cư	1	8
