title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Căn hộ chung cư tại Green Pearl 378 Minh Khai	pr43252129	96 m²		7,2 tỷ		3 phòng	2 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9961152732193	105.86404194676	Green Pearl 378 Minh Khai, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Việt Đức Complex	pr43236834	127 m²		7,65 tỷ		3 phòng	2 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9989137699635	105.79918666281	Dự án Việt Đức Complex, Đường Khuất Duy Tiến, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại D’. Le Roi Soleil	pr42200787	146 m²		18,5 tỷ	Đông - Nam	3 phòng	2 phòng	Đầy đủ	Hợp đồng mua bán	21.0663127694218	105.826975293247	D’. Le Roi Soleil , 59, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại Eco Green City	pr42951939	150 m²		10 tỷ	Đông - Nam	3 phòng	3 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.98398662945892	105.8081415106273	Eco Green City, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Cổ Loa	pr43168706	62,5 m²	5 m	19 tỷ	Tây - Bắc			Không nội thất	Hợp đồng mua bán	21.115434286636546	105.87070996894428	Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại đường Miếu Đầm	pr43255722	45 m²	5,5 m	11 tỷ		4 phòng	4 phòng		Sổ đỏ/ Sổ hồng	21.0052141716902	105.782715362085	Đường Miếu Đầm, Phường Mễ Trì, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại phường Yên Hòa	pr43180159	153 m²	5,9 m	13,5 tỷ	Tây - Bắc				Sổ đỏ/ Sổ hồng	21.0224115240688	105.795232816767	Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Hoàng Văn Thái	pr43108726	64 m²	4,2 m	13,9 tỷ					Sổ đỏ/ Sổ hồng	20.9966179041662	105.826069905359	Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42972414	120 m²	8 m	25 tỷ	Đông - Nam				Sổ đỏ/ Sổ hồng	21.09706543583155	105.71153271745281	Vinhomes Wonder City, Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà biệt thự, liền kề tại Chung cư Vinaconex 21	pr43231806	86,3 m²	4 m	17,2 tỷ	Tây - Bắc	3 phòng	4 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9569645360663	105.756216474554	Vinaconex 21, 804 Đường Quang Trung , Phường Phú La, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại phố Ngụy Như Kon Tum	pr43121393	55 m²	4,8 m	18 tỷ		3 phòng	3 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9990562786459	105.800609880028	Phố Ngụy Như Kon Tum, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr43312323	104 m²	8 m	18,4 tỷ				Cơ bản	Sổ đỏ/ Sổ hồng	21.097096154239242	105.71148178576804	Vinhomes Wonder City, Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà riêng tại đường An Dương Vương	pr43291772	36 m²	4,6 m	7,5 tỷ	Tây	4 phòng	5 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.087156566723813	105.80383709699717	Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Minh Khai	pr43289060	38 m²		9,5 tỷ		6 phòng	6 phòng	Cơ bản	Sổ đỏ/ Sổ hồng.	20.9978260813854	105.86670588307	Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Kim Giang	pr43316341	65 m²		23,6 tỷ	Bắc	10 phòng	10 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9843044368551	105.814261785211	Đường Kim Giang, Phường Hạ Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Shophouse, nhà phố thương mại tại The Manor Central Park	pr42202157	75 m²	5 m	24 tỷ	Đông - Nam	5 phòng	5 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.975262169663676	105.81435141501116	Dự án The Manor Central Park, Đường Nguyễn Xiển, Phường Đại Kim, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Trần Duy Hưng	pr43266042	38 m²	4,1 m	17,9 tỷ		3 phòng	4 phòng	Cơ bản	Sổ đỏ/ Sổ hồng	21.0104750407459	105.799191476583	Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Thăng Long Number One	pr38406722	109 m²		68 triệu/m²		3 phòng	2 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng.	21.002922169305734	105.79243507928564	Dự án Thăng Long Number One, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Hồ Văn Chương	pr43267568	46 m²	6 m	8,6 tỷ		3 phòng	4 phòng	Cơ bản	Sổ đỏ/ Sổ hồng	21.021384553497	105.833726146811	Đường Hồ Văn Chương, Phường Văn Chương, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Trịnh Văn Bô	pr43263092	65,6 m²	4,5 m	7,1 tỷ	Nam	6 phòng	3 phòng	Nội thất xịn.	Sổ đỏ/ Sổ hồng	21.0377708112707	105.746533403632	Đường Trịnh Văn Bô, Phường Phương Canh, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Cổ Linh	pr43303486	90,8 m²	4 m	19,3 tỷ		5 phòng	6 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0278820030613	105.892528090495	Đường Cổ Linh, Phường Long Biên, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phố Chính Kinh	pr42100819	65 m²		12,9 tỷ		20 phòng	20 phòng		Sổ đỏ/ Sổ hồng	20.999130284868	105.811159792253	Phố Chính Kinh, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại The Emerald	pr43294258	90 m²		7,5 tỷ		3 phòng	2 phòng		Sổ đỏ	21.0228058817376	105.771645189063	Dự án The Emerald CT8 Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại An Lạc Green Symphony	pr42545596	136 m²		27,5 tỷ						21.033690503583284	105.73180049635025	Dự án An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42790707	96 m²	8 m	18,6 tỷ	Đông - Bắc	5 phòng	5 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.09654136940791	105.71203898308184	Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị mới Văn Quán	pr38951780	90 m²	5 m	29,3 tỷ				Đầy đủ	Sổ đỏ.	20.9739627838135	105.789070129395	Dự án KĐT Văn Quán, Đường Chiến Thắng, Phường Văn Quán, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Ngọc Thụy	pr43315161	36 m²		8,9 tỷ		4 phòng	3 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0497342411327	105.866742207511	Đường Ngọc Thụy, Phường Ngọc Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phường Khâm Thiên	pr43315416	34 m²	6 m	12 tỷ		4 phòng		Đầy đủ	Sổ đỏ/ Sổ hồng	21.0193446073839	105.83923360522	Phường Khâm Thiên, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Nghi Tàm	pr43306995	92 m²	6,6 m	22,15 tỷ					Sổ hồng.	21.0573401438587	105.835278430827	Đường Nghi Tàm, Phường Tứ Liên, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Văn Phú	pr43221682	36 m²	4 m	8,9 tỷ		3 phòng	4 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9618547057486	105.768534108671	Đường Văn Phú, Phường Phú La, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Shophouse, nhà phố thương mại tại Xuân Phương Tasco	pr43177884	90 m²	6 m	26,3 tỷ		4 phòng			Sổ đỏ/ Sổ hồng	21.025363986278965	105.7413717612709	Dự án Xuân Phương Tasco, Phường Xuân Phương, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Lê Duẩn	pr43277865	70 m²	7 m	14,9 tỷ	Tây	3 phòng	3 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0197592376189	105.841178289661	16 ngõ 274 Đường Lê Duẩn, Phường Khâm Thiên, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại đường Mỹ Đình	pr42970244	115 m²	5,5 m	15,7 tỷ					Sổ đỏ/ Sổ hồng	21.0273199907568	105.773838469909	đường Mỹ Đình, Phường Mễ Trì, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Hoàng Quốc Việt	pr43251069	80 m²	7,7 m	22 tỷ						21.0461014334348	105.791716562436	Ngõ 106, Đường Hoàng Quốc Việt, Phường Nghĩa Tân, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Trần Quang Diệu	pr43314935	38 m²	3,3 m	15 tỷ					Sổ đỏ/ Sổ hồng	21.0155236407363	105.824367750915	Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Căn hộ chung cư tại Chung cư The Wisteria	pr43257191	138 m²		7,58 tỷ		3 phòng	3 phòng		Sổ đỏ/ Sổ hồng	21.075558990798534	105.69865702080364	Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Chiến Thắng	pr37593927	110 m²	8 m	18 tỷ		42 phòng	42 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	20.9791537	105.7962032	Đường Chiến Thắng, Xã Tân Triều, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Bán đất tại đường Vân Nội	pr42765612	104,8 m²	5,2 m	108 triệu/m²	Nam				Có sổ đỏ.	21.1554454298252	105.815519934302	Đường Vân Nội, Xã Vân Nội, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại đường Thụy Khuê	pr41674523	62 m²	6,2 m	11,7 tỷ		19 phòng	19 phòng	Đầy đủ		21.045701657841	105.813183691663	Đường Thụy Khuê, Phường Bưởi, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Thanh Bình	pr43101898	42 m²	4,2 m	8,2 tỷ		5 phòng	4 phòng	Không nội thất	Sổ đỏ/ Sổ hồng	20.9824783306908	105.777965575063	Đường Thanh Bình, Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại The Golden Palm Lê Văn Lương	pr43240340	134 m²		12 tỷ	Đông - Nam	3 phòng	2 phòng	Cơ bản	Sổ đỏ/ Sổ hồng	21.006311416626	105.807479858398	Dự án The Golden Palm Lê Văn Lương, Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Xuân La	pr43249316	60 m²		16 tỷ						21.0641326770252	105.806013058188	Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại đường Trâu Quỳ	pr43271991	110 m²	5,3 m	16,17 tỷ	Đông - Bắc				Sổ đỏ/ Sổ hồng	21.0048160842614	105.936413999046	Đường Trâu Quỳ, Thị trấn Trâu Quỳ, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Nam An Khánh	pr43060214	255 m²		100 triệu/m²					Sổ đỏ/ Sổ hồng	21.00143155347721	105.7068263153423	Dự án Nam An Khánh, Đường Láng Hòa Lạc, Xã An Khánh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Căn hộ chung cư tại D’. Le Roi Soleil	pr42504634	88 m²		11 tỷ	Đông - Nam	2 phòng	2 phòng		Sổ đỏ/ Sổ hồng	21.065251613629	105.826643871199	D’. Le Roi Soleil , 59, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Phạm Thận Duật	pr43075772	55 m²		14,3 tỷ		4 phòng	4 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.0436718663015	105.77871141179	Đường Phạm Thận Duật, Phường Mai Dịch, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Sơn	pr43252962	40 m²	4,5 m	14,5 tỷ		3 phòng	6 phòng	Đầy đủ.	Sổ đỏ/ Sổ hồng.	21.045580798256	105.880933783286	Đường Nguyễn Sơn, Phường Gia Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phố Linh Lang	pr43285309	45 m²		19,5 tỷ					Sổ đỏ/ Sổ hồng	21.0344160621219	105.809994247337	Phố Linh Lang, Phường Cống Vị, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại đường An Dương Vương	pr43297131	61 m²	3,8 m	8,6 tỷ		4 phòng	4 phòng	Cơ bản với điều hòa, tủ lạnh, giường...	Sổ đỏ/ Sổ hồng	21.0896075934358	105.804372700302	Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà mặt phố tại đường Hoàng Hoa Thám	pr43288655	84 m²	3,8 m	25,5 tỷ	Tây - Bắc			Cơ bản	Sổ đỏ/ Sổ hồng	21.046955579030932	105.81037652758424	Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai	pr43275461	80 m²		13,5 tỷ	Bắc	2 phòng	2 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.03322054004463	105.81671471639066	Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Bán đất tại đường Bắc Hồng	pr43299538	180 m²	8,7 m	8,4 tỷ					Sổ đỏ/ Sổ hồng	21.1770202794509	105.802432506795	Đường Bắc Hồng, Xã Bắc Hồng, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Căn hộ chung cư tại FLC Complex 36 Phạm Hùng	pr39563466	150 m²		9 tỷ	Tây - Bắc	4 phòng	3 phòng	Đầy đủ	Sổ đỏ/ Sổ hồng	21.028190612793	105.779197692871	FLC Complex Phạm Hùng, 36, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Phú Viên	pr43287955	200 m²	5 m	17,5 tỷ	Nam	3 phòng	2 phòng	Đầy đủ.	Sổ đỏ/ Sổ hồng.	21.033560422366	105.86920804284	Đường Phú Viên, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Chung cư The Wisteria	pr43246493	138 m²		7,2 tỷ		3 phòng	3 phòng			21.0752191082662	105.698053440397	Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
