title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
NHÀ GIA THỤY LÔ GÓC- KD 68M2, 4T,VỈA HÈ 11.9 TỶ	101047458	60 m²		11,9 tỷ		4 phòng			Đã có sổ	21.0464	105.88141	Ngõ 117 Phố Nguyễn Sơn, Phường Gia Thụy, Quận Long Biên, Hà Nội	Long Biên	Hà Nội
CHỈ 2,65 TỶ SỞ HỮU NGAY CĂN HỘ 2PN1VS FULL ĐỒ,VIEW THOÁNG TẠI VIN OCP.	105751152			2,65 tỷ		2 phòng			Sổ hồng riêng	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
BÁN CẮT LỖ_CHUNG CƯ E5 CHÙA BỘC_HỌC VIỆN NGÂN HÀNG_ĐỐNG ĐA_Ở NGAY	106622088			900 triệu		2 phòng			1	21.0065	105.8304	Phố Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
BÁN NHANH CĂN 1PN+,1VS, DT 47M, FULL ĐỒ CHỈ 2,28 TỶ TẠI VIN.OCP.	107475111			2,28 tỷ		1 phòng			Sổ hồng riêng	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Chuyển nhượng Giá Rẻ 1PN+ ,2PN, 2PN+, 3PN Vinhomes Smart City Các Khu	108791346			2,7 tỷ		2 phòng			Sổ hồng riêng	21.01	105.7404	, Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Siêu phẩm căn 3 phòng ngủ có giả chỉ 3,7 tỷ tại VH Ocean Park	109374376			3,7 tỷ		3 phòng			Sổ hồng riêng	21.0209	105.9381	5, Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Quá Đẹp, Chùa Láng, Ở Ngay, Cực Gần Phố, Ngõ Thông, Nhà Thoáng, Mới	110126443	46 m²		7,8 tỷ		4 phòng			Đã có sổ	21.023567	105.80495	Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
BÁN GẤP_CHUNG CƯ H1 PHẠM VĂN ĐỒNG_CÔNG VIÊN HÒA BÌNH_SỔ ĐỎ VĨNH VIỄN	111191900			890 triệu		2 phòng			1	21.050608	105.79097	Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Đất Tái định cư Trâu Quỳ, giữa huyện Gia Lâm	111195533	61 m²		10,2 tỷ					Đã có sổ	21.0144	105.9437	Phố Nguyễn Mậu Tài, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
BÁN GẤP_CHUNG CƯ A1 THÁI HÀ_CHÙA BỘC_PHẠM NGỌC THẠCH_ĐỐNG ĐA_SỔ ĐỎ	111253206			900 triệu		2 phòng			1	21.020054	105.82462	xã đàn, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Hot! Yên Lãng, ngõ thông, ô tô 15m, lô góc, thoáng sáng, full nội thât	111405618	45 m²		7,8 tỷ		4 phòng			Đã có sổ	21.0104	105.816	Phố Yên Lãng, Phường Láng Hạ, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bắt đáy Thái Hà! Lô góc, thông, thoáng, kd, oto, trung tâm, 45m2*5T	111905099	45.5 m²		7,5 tỷ		4 phòng		Nội thất cao cấp	Đã có sổ	21.0107	105.8252	Phố Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
BÁN TẬP THỂ TẦNG 2 THANH NHÀN. HAI BA TRƯNG(GẦN Ô TÔ).70M.2PN. 2.8 TỶ	112102337			2,8 tỷ		2 phòng			1	21.0027	105.8582	Thanh Nhàn, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
🔥GIÁ RẺ CHUNG CƯ C1 XÃ ĐÀN-PHẠM NGỌC THẠCH✔️Ở NGAY👪OTO ĐỖ 20M🏠ĐỦ ĐỒ	112303173			600 triệu		2 phòng			1	21.0104	105.8369	Phố Xã Đàn, Phường Phương Liên, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Toà nhà mặt phố Lò Đúc, dt 230m2, mt 37m, lô góc, 8 tầng	112559810	230 m²		125 tỷ		5 phòng	Nhiều hơn 6 phòng		Đã có sổ	21.0161	105.8561	Phố Lò Đúc, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
