title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Căn hộ chung cư tại Green Pearl 378 Minh Khai	pr43252129	96.0	0.0	7.2	0	3	2	Đầy đủ	2	20.9961152732193	105.86404194676	Green Pearl 378 Minh Khai, Minh Khai, Vĩnh Tuy, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Việt Đức Complex	pr43236834	127.0	0.0	7.65	0	3	2	Đầy đủ	2	20.9989137699635	105.79918666281	Dự án Việt Đức Complex, Đường Khuất Duy Tiến, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại D’. Le Roi Soleil	pr42200787	146.0	0.0	18.5	110	3	2	Đầy đủ	1	21.0663127694218	105.826975293247	D’. Le Roi Soleil , 59, Đường Xuân Diệu, Phường Quảng An, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại Eco Green City	pr42951939	150.0	0.0	10.0	110	3	3	Đầy đủ	2	20.98398662945892	105.8081415106273	Eco Green City, Đường Nguyễn Xiển, Xã Tân Triều, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Cổ Loa	pr43168706	62.5	5.0	19.0	1001	0	0	Không nội thất	1	21.115434286636543	105.87070996894428	Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại đường Miếu Đầm	pr43255722	45.0	5.5	11.0	0	4	4		2	21.0052141716902	105.782715362085	Đường Miếu Đầm, Phường Mễ Trì, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại phường Yên Hòa	pr43180159	153.0	5.9	13.5	1001	0	0		2	21.0224115240688	105.795232816767	Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Hoàng Văn Thái	pr43108726	64.0	4.2	13.9	0	0	0		2	20.9966179041662	105.826069905359	Đường Hoàng Văn Thái, Phường Khương Mai, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42972414	120.0	8.0	25.0	110	0	0		2	21.09706543583155	105.7115327174528	Vinhomes Wonder City, Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà biệt thự, liền kề tại Chung cư Vinaconex 21	pr43231806	86.3	4.0	17.2	1001	3	4	Đầy đủ	2	20.9569645360663	105.756216474554	Vinaconex 21, 804 Đường Quang Trung , Phường Phú La, Hà Đông, Hà Nội	Hà Đông	Hà Nội
