title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Bán đất tại đường Cự Khối	pr42328272	100.0	5.5	14.0	0000	0	0		2	21.012756437778	105.910578262623	Đường Cự Khối, Phường Cự Khối, Long Biên, Hà Nội	Long Biên	Hà Nội
Bán đất tại xã Minh Quang	pr42657850	3600.0	0.0	11.0	0000	0	0		2	21.0672660943293	105.325731832496	Thôn Cốc Đồng Tâm, Xã Minh Quang, Ba Vì, Hà Nội.	Ba Vì	Hà Nội
Nhà biệt thự, liền kề tại phường Dương Nội	pr42607465	55.0	0.0	15.5	0000	0	0	Đầy đủ	2	20.9818729730726	105.746310951226	Phường Dương Nội, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà biệt thự, liền kề tại Vinhomes Wonder City	pr42614924	96.0	8.0	16.8	0110	5	3	Không nội thất	1	21.096562274466997	105.71204689509746	Dự án Vinhomes Wonder City, Xã Tân Hội, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà riêng tại đường Bồ Đề	pr41789075	80.0	0.0	13.2	0000	3	3		2	21.0379724924051	105.871921608991	Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Lương Bằng	pr42637498	53.0	8.7	7.0	0000	0	0		2	21.0163321313662	105.828295827271	Đường Nguyễn Lương Bằng, Phường Nam Đồng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Hồng Hà	pr42392066	85.0	0.0	29.5	0000	0	0		-1	21.0442993550226	105.84720256925	Đường Hồng Hà, Phường Phúc Xá, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Trang trại, khu nghỉ dưỡng tại đường 87A	pr42415566	2100.0	0.0	22.0	0000	0	0		2	21.0864325097247	105.403483726052	Đường 87A, Xã Vân Hòa, Ba Vì, Hà Nội	Ba Vì	Hà Nội
Bán đất tại đường Vân Canh	pr42626345	131.0	13.0	30.0	0000	0	0		2	21.0358509481631	105.733119448928	Đường Vân Canh, Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Yên Hòa	pr42566899	35.0	4.0	8.0	0000	5	4	Đầy đủ	2	21.0232502264143	105.794804060888	Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Chí Thanh	pr42522665	65.0	5.0	16.5	0000	4	4	Đầy đủ	2	21.0210685056711	105.808493223334	Đường Nguyễn Chí Thanh, Phường Láng Thượng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà biệt thự, liền kề tại Him Lam Thường Tín	pr42177890	80.0	5.5	11.0	1000	6	6	Không nội thất	2	20.8710734809205	105.862896065556	Him Lam Thường Tín, Trần Phú, Thường Tín, Thường Tín, Hà Nội	Thường Tín	Hà Nội
Nhà riêng tại phố Trung Kính	pr42382137	95.0	5.0	27.0	0000	6	5	Đầy đủ	2	21.011778856325	105.801630101439	Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Shophouse, nhà phố thương mại tại Him Lam Thường Tín	pr41455530	81.0	5.0	15.0	0110	5	6		2	20.8715607362953	105.862752231038	Dự án Him Lam Thường Tín, Đường Trần Phú, Thị trấn Thường Tín, Thường Tín, Hà Nội	Thường Tín	Hà Nội
Nhà riêng tại đường Hồ Đắc Di	pr42657542	80.0	0.0	12.8	0000	3	3		2	21.0120317980487	105.829219203335	Đường Hồ Đắc Di, Phường Nam Đồng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà mặt phố tại đường Kim Giang	pr42642613	45.0	4.4	16.5	0000	0	0		2	20.983109125977	105.815537119625	Đường Kim Giang, Phường Khương Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Mulberry Lane	pr42620937	146.0	0.0	7.5	1001	4	2	Đầy đủ	2	20.986585794806963	105.7856640972146	Mulberry Lane, Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại đường Xuân Đỉnh	pr41311277	88.0	0.0	11.97	0000	0	0		2	21.070975430768	105.794519734495	Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Hoàng Quốc Việt	pr42654634	46.0	4.5	17.0	0000	5	5	Không nội thất	2	21.046267314581	105.799749577815	Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại Viha Complex	pr41825566	97.0	0.0	9.2	0000	3	3	Cơ bản	1	20.9975177172086	105.804383780412	Viha Complex, Số 107, Đường Nguyễn Tuân, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	pr42648565	35.0	0.0	12.5	0000	3	4		2	21.0466207052601	105.877737462159	Đường Nguyễn Văn Cừ, Phường Long Biên, Long Biên, Hà Nội	Long Biên	Hà Nội
Bán đất tại đường Bùi Quốc Khái	pr42572683	90.0	5.0	20.0	0000	0	0		2	20.9615899393322	105.821786655947	Đường Bùi Quốc Khái, Phường Hoàng Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Lê Trọng Tấn	pr42596871	65.0	5.0	19.8	0000	0	0	Đầy đủ	2	20.9998480337274	105.827986540677	Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại đường Phùng Khoang	pr42442503	90.0	0.0	20.6	0000	25	26		2	20.9884523099314	105.793346145813	Đường Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
