title	url_id	area	width	price	direction	number_of_bedrooms	number_of_toilets	furniture	legal	lat	lon	address	district	province
Bán căn 2N1VS, 60m2 NỘI THẤT CAO CẤP, View Siêu Đẹp, chỉ 2.75 tỷ VHOCP	106702460	0.0	0.0	2.75	0000	2	0		2	21.02097	105.93817	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
BÁN CHUNG CƯ C2 CHÙA BỘC_HỌC VIỆN NGÂN HÀNG_ĐỐNG ĐA_NỘI THẤT ĐẦY ĐỦ	103046685	0.0	0.0	0.88	0000	2	0		-1	21.00464	105.82729	Đường Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
BÁN NHANH CĂN 1PN+1,1VS 47M, TẦNG TRUNG, VIEW THOÁNG CHỈ 2,26TỶ.VHOCP	105750775	0.0	0.0	2.26	0000	1	0		2	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
BÁN CHUNG CƯ N3 NGUYỄN LƯƠNG BẰNG_Ô CHỢ DỪA_ĐỐNG ĐA_SỔ HỒNG VĨNH VIỄN	103638156	0.0	0.0	0.95	0000	2	0		-1	21.0164	105.82864	Phố Nguyễn Lương Bằng, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
Chính chủ khu trang trại siêu rẻ chỉ 1,x tr/1m2 tại Quốc Oai, Hà Nội	104049444	2600.0	35.0	4.8	0000	0	0		2	21.0032	105.6521	Đường Đi Quốc Oai, Xã Tuyết Nghĩa, Huyện Quốc Oai, Hà Nội	Quốc Oai	Hà Nội
Chuyển nhượng Giá Rẻ 1PN+ ,2PN, 2PN+, 3PN Vinhomes Smart City Các Khu	108791346	0.0	0.0	2.8	0000	2	0		2	21.01	105.7404	, Đại Mỗ, Phường Tây Mỗ, Quận Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất thổ cư  tại Tái định cư Trâu Quỳ 60 m2	110848334	60.0	0.0	10.2	0000	0	0		2	21.0144	105.9437	Phố Nguyễn Mậu Tài, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Chỉ 2.35 tỷ sở hữu ngay căn 1N+1, 47m2 Vị trí trung tâm tại Vinhomes	106850020	0.0	0.0	2.35	0000	1	0		2	21.0209	105.9381	Yên Viên, Thị trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Quá Đẹp, Chùa Láng, Ở Ngay, Cực Gần Phố, Ngõ Thông, Nhà Thoáng, Mới	110126443	46.0	0.0	7.8	0000	4	0		2	21.023567	105.80495	Phố Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội	Đống Đa	Hà Nội
BÁN GẤP_CHUNG CƯ H1 PHẠM VĂN ĐỒNG_CÔNG VIÊN HÒA BÌNH_SỔ ĐỎ VĨNH VIỄN	111191900	0.0	0.0	0.89	0000	2	0		-1	21.050608	105.79097	Phạm Văn Đồng, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
